Tm (°C),GC (%)
137.688,57.5
135.522,52.5
135.594,53.82
130.761,42.22
132.486,45.73
134.115,49.03
133.312,48.85
132.985,47.52
133.052,46.39
133.617,49.17
134.666,50.18
136.62,54.24
136.114,53.09
135.544,52.15
134.926,50.34
135.094,52.66
132.89,54.17
134.81,51.67
135.62,51.96
132.217,46.36
136.029,53.6
133.153,48.24
133.283,47.94
135.788,52.2
133.094,48.55
136.019,52.8
134.846,52.72
134.398,50.53
135.847,55.56
135.527,55.97
135.532,52.21
133.883,52.69
131.788,46.67
134.302,50.3
132.287,44.51
129.807,43.62
134.595,49.19
127.841,40.62
127.832,40.74
126.501,37.63
128.844,38.72
128.219,45.74
130.085,48.08
131.148,45.83
128.908,43.23
131.991,46.27
130.55,44.69
134.097,51.17
131.832,45.39
135.971,53.39
135.092,51.94
135.574,53.05
132.381,47.1
127.918,34.37
129.417,47.83
132.897,52.11
135.807,53.05
134.818,53.49
129.969,41.67
129.345,37.73
132.9,51.25
130.775,42.01
137.084,55.48
134.828,54.13
135.454,53.15
132.732,49.21
135.593,54.1
135.539,59.68
129.639,50.88
135.702,54.31
128.447,39.56
133.029,52.66
132.457,49.28
134.235,51.97
136.795,58.62
138.238,58.48
130.313,44.86
136.056,52.93
134.415,56.04
137.543,56.75
139.053,60.49
135.734,56.03
133.67,52.43
136.081,54.76
134.966,53.24
136.144,56.28
138.578,58.88
136.261,57.58
137.372,57.65
137.324,57.39
138.197,60.14
135.164,53.03
138.145,57.66
136.262,55.33
138.805,60.05
132.244,48.89
136.667,55.05
137.521,56.58
134.999,51.84
137.538,58.5
135.923,55.89
136.372,54.78
136.448,54.11
135.923,53.21
136.269,53.87
135.182,50.71
134.653,52.35
134.968,50.88
135.729,52.07
135.147,52.07
133.422,48.22
136.478,58.5
129.432,43.66
134.075,48.79
136.757,54.41
135.919,53.35
135.498,53.1
135.166,51.32
137.068,55.2
135.1,52.5
134.87,54.58
135.78,53.2
135.449,51.93
131.34,47.81
133.45,46.99
130.602,44.56
130.353,43.67
130.746,44.91
133.133,47.6
132.714,49.65
127.344,38.36
131.316,48.15
130.869,48.15
133.321,47.55
131.79,49.1
131.506,48.61
130.403,46.88
130.727,48.09
135.142,52.28
135.332,52.42
132.996,50.17
125.103,36.81
129.245,45.45
128.537,38.21
129.43,42.46
131.601,47.25
130.503,47.54
131.629,44.44
132.475,45.87
131.126,47.69
130.511,44.11
128.795,45.58
132.582,45.44
134.916,50.45
129.056,41.11
130.944,45.52
131.126,47.69
132.438,50.21
134.928,53.02
134.698,51.89
132.859,46.53
133.614,48.41
134.018,49.83
129.951,45.64
133.884,50.57
132.447,45.0
129.207,41.48
136.793,54.75
136.102,54.05
134.828,54.13
134.37,54.07
132.361,52.22
134.455,54.21
133.594,53.7
135.625,54.12
132.505,46.32
129.911,48.3
135.556,54.41
135.539,59.68
129.836,42.52
132.494,51.47
133.83,48.7
134.648,49.62
135.831,52.31
135.832,53.17
135.336,51.69
134.626,52.82
135.248,53.68
135.094,52.66
134.698,51.31
139.21,60.63
132.244,48.89
128.483,42.33
135.667,52.15
134.555,49.72
129.033,40.86
130.923,42.23
132.803,46.39
133.929,51.0
135.452,53.12
136.304,56.38
133.172,51.59
134.537,49.68
136.88,54.29
130.688,43.77
132.32,50.7
132.149,46.72
134.923,51.82
129.778,44.29
132.04,48.07
131.975,49.55
132.957,47.14
136.188,53.65
137.522,58.99
136.521,56.01
137.556,57.8
134.992,53.75
136.233,54.89
136.835,55.49
134.561,51.02
137.725,56.57
136.424,54.08
134.576,49.7
136.238,54.51
135.038,51.06
136.184,53.69
135.394,52.02
131.094,43.96
133.361,46.76
132.541,44.33
133.822,47.32
130.012,38.56
129.322,36.69
127.078,33.54
127.688,33.7
131.17,42.27
132.677,46.23
134.341,49.14
135.461,51.29
132.662,46.15
134.472,51.16
126.694,31.89
134.727,49.28
131.696,42.47
130.204,42.28
134.745,51.05
133.186,48.09
129.026,40.78
134.318,49.27
136.386,53.54
135.787,52.78
134.063,48.95
132.104,44.77
135.639,53.58
133.669,47.52
133.435,47.78
135.762,52.56
134.048,48.94
130.674,40.63
134.213,48.96
127.635,32.45
131.064,45.45
131.696,42.64
131.604,44.15
134.211,48.28
138.238,58.48
136.795,58.62
134.343,52.23
134.952,51.4
133.494,48.89
128.454,40.08
127.597,37.11
129.225,40.0
127.748,32.84
130.972,45.65
135.789,53.79
134.528,53.8
134.055,52.34
136.56,54.28
135.732,54.84
137.936,59.11
135.634,53.72
129.692,42.8
125.959,29.91
136.342,56.17
133.134,48.83
134.503,52.99
136.535,54.28
136.134,54.2
134.665,53.51
134.521,53.33
133.582,49.57
136.015,53.35
136.187,54.13
136.207,53.98
135.758,53.49
136.421,54.42
134.659,50.24
134.252,50.52
136.564,54.75
133.54,49.56
135.359,51.97
135.344,53.2
134.313,50.69
131.755,46.93
135.554,51.65
123.6,29.22
130.14,42.56
128.059,41.03
130.083,46.67
131.601,47.25
130.756,47.47
131.739,43.02
133.88,52.38
133.943,52.9
128.593,37.47
134.52,51.57
135.827,54.17
131.615,48.29
131.257,48.96
135.871,53.49
133.951,51.99
135.632,52.63
135.201,51.34
135.202,52.58
134.674,54.81
130.753,41.71
134.057,50.5
134.193,51.41
125.574,35.52
137.597,57.73
137.912,57.19
135.785,52.12
136.129,54.08
136.503,54.72
136.303,54.7
135.92,55.14
137.438,58.91
133.452,53.15
136.407,57.33
134.22,52.0
135.078,53.05
132.205,51.01
133.743,48.4
134.983,51.22
133.674,48.51
135.424,53.51
135.556,54.02
134.538,50.36
130.288,41.97
130.526,42.82
130.794,41.78
130.303,41.67
133.863,50.33
130.28,42.94
130.671,44.23
134.397,51.12
134.938,50.47
